,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
363,Geraldton,75,CA,1558159975,60,49.72,-86.95,39.2,4.7
364,Provost,100,CA,1558159976,51,52.35,-110.26,48.15,11.25
365,Bom Jesus,40,BR,1558159978,94,-5.99,-35.58,77.0,4.7
366,Kodinsk,29,RU,1558159979,24,58.6,99.18,54.63,5.5
367,Oussouye,0,SN,1558159980,78,12.49,-16.54,73.35,11.81
368,Fairview,1,US,1558159983,55,40.81,-74.0,66.2,4.7
369,Beloha,35,MG,1558159984,54,-25.17,45.06,78.57,2.39
370,Zherdevka,0,RU,1558159985,60,51.84,41.47,59.13,6.67
371,Santa Fe,100,AR,1558159729,84,-31.62,-60.7,68.0,4.0
372,Bay City,90,US,1558159909,62,43.59,-83.89,57.2,9.17
373,Jinchang,19,CN,1558159989,20,38.52,102.19,54.09,17.25
374,Kudahuvadhoo,72,MV,1558159990,70,2.67,72.89,86.13,11.18
375,Rafai,99,CF,1558159991,71,4.95,23.92,78.39,2.93
376,Mont-Dore,75,NC,1558159993,57,-22.23,166.53,75.2,14.99
377,Hot Springs,1,US,1558159994,60,34.5,-93.06,75.2,8.61
378,Adrar,0,DZ,1558159995,11,27.87,-0.29,78.8,19.46
379,Namibe,92,AO,1558159996,80,-15.19,12.15,71.19,7.83
380,Multan,8,PK,1558159997,31,30.2,71.47,92.97,3.94
381,Nioro,14,GM,1558159999,46,13.79,-15.05,74.61,6.76
382,Naryan-Mar,39,RU,1558160000,94,67.67,53.09,32.49,16.24
383,Maxixe,20,MZ,1558160002,93,-23.86,35.35,60.8,0.87
384,Kibala,40,TD,1558160003,88,9.11,18.35,75.2,9.84
385,Fortuna,0,ES,1558160004,54,38.18,-1.13,63.0,4.7
386,Kaa-Khem,27,RU,1558160005,29,51.7,94.56,46.53,6.89
387,Paratinga,99,BR,1558160007,87,-12.69,-43.18,69.21,1.81
388,Tecoanapa,75,MX,1558160008,83,16.99,-99.26,80.6,2.24
389,Gilgit,7,PK,1558160009,58,35.92,74.31,42.57,4.5
390,Vucje,75,RS,1558160010,87,42.87,21.91,55.99,2.24
391,Tamandare,44,BR,1558160011,84,-8.28,-70.75,66.69,1.45
392,Lagoa,20,PT,1558160013,58,37.14,-8.45,57.2,9.17
393,Hualmay,45,PE,1558160014,91,-11.1,-77.61,64.35,18.25
394,Chegdomyn,53,RU,1558160015,29,51.13,133.04,62.01,14.83
395,Ayutthaya,20,TH,1558160017,50,14.36,100.57,100.99,8.05
396,Martapura,20,ID,1558160018,62,-3.41,114.85,89.6,9.17
397,Matagami,88,NG,1558160019,90,9.67,8.4,71.91,3.69
398,Ahuimanu,20,US,1558160020,74,21.44,-157.84,80.6,8.05
399,Berlevag,90,NO,1558160022,74,70.86,29.09,37.17,6.64
400,Ca Mau,33,VN,1558159841,49,9.18,105.15,94.41,12.93
401,Chacabuco,100,AR,1558160024,96,-34.64,-60.47,64.71,10.42
402,Talaya,0,RU,1558160026,28,55.79,84.89,55.4,22.37
403,Kama,75,JP,1558160027,78,33.54,130.74,72.0,13.87
404,Palmeira das Missoes,0,BR,1558160028,85,-27.9,-53.31,58.05,11.61
405,Williamsport,1,US,1558160030,93,41.25,-77.0,61.0,3.62
406,Siniscola,20,IT,1558160031,93,40.57,9.69,59.0,8.05
407,Yeppoon,75,AU,1558160032,50,-23.13,150.74,77.0,14.99
408,Yashkul,66,RU,1558160033,54,46.17,45.34,72.45,16.44
409,Lexington,1,US,1558159898,64,38.05,-84.5,69.8,5.82
410,South Bend,90,US,1558160036,100,41.68,-86.25,62.01,5.37
411,Verkhnevilyuysk,100,RU,1558160037,36,63.45,120.31,40.77,10.78
412,Rio Grande,0,BR,1558160039,88,-32.03,-52.1,62.37,7.09
413,Saint-Louis,75,CH,1558160040,93,47.59,7.56,55.4,1.12
414,Lokosovo,100,RU,1558160041,88,61.13,74.84,44.55,10.92
415,Candolim,20,IN,1558160043,66,15.52,73.76,87.8,10.29
416,Jaguaribe,100,BR,1558159757,97,-5.88,-38.62,71.19,2.28
417,Palora,100,EC,1558160045,97,-1.7,-77.97,60.57,0.25
418,Buin,75,CL,1558160046,81,-33.73,-70.74,53.6,9.17
419,Kristianstad,90,SE,1558160048,100,56.03,14.16,52.0,7.54
420,Jurm,0,AF,1558159864,32,36.86,70.83,59.67,3.89
421,Chernyy Yar,40,RU,1558160050,65,64.44,40.96,41.0,8.95
422,Asyut,0,EG,1558160052,46,27.18,31.19,69.8,9.17
423,Hillsborough,40,US,1558160053,71,37.57,-122.38,55.4,11.41
424,Kokstad,91,ZA,1558160054,39,-30.55,29.42,55.53,5.23
425,Opuwo,27,NA,1558160055,46,-18.06,13.84,64.53,0.54
426,Tullow,0,IE,1558160056,93,52.8,-6.74,51.01,1.12
427,Matamoros,90,US,1558160058,88,25.87,-97.51,82.4,16.11
428,Manzanillo,89,CU,1558160059,74,20.34,-77.12,81.45,6.13
429,Senanga,90,ZM,1558160060,41,-16.1,23.3,62.55,3.36
430,Kishtwar,98,IN,1558160062,74,33.31,75.77,51.39,2.91
431,Pochutla,100,MX,1558160063,76,15.74,-96.47,82.0,1.54
432,Vozhega,0,RU,1558160065,40,60.47,40.21,49.23,8.1
433,Puerto Ayacucho,100,CO,1558160066,89,5.66,-67.63,75.87,7.02
434,Ostrovnoy,100,RU,1558160067,87,68.05,39.51,35.19,21.12
435,Sonkovo,0,RU,1558160069,54,57.78,37.16,54.81,4.41
436,Eyl,65,SO,1558160070,57,7.98,49.82,86.85,13.62
437,Loukhi,5,RU,1558160071,69,66.08,33.04,40.41,8.79
438,Molteno,8,ZA,1558160072,35,-31.4,26.36,57.69,9.4
439,Jalu,0,LY,1558160074,24,29.03,21.55,76.23,6.04
440,Port Alberni,75,CA,1558160075,58,49.24,-124.81,57.0,4.7
441,Gemlik,75,TR,1558160076,100,40.43,29.16,66.2,6.93
442,Pangnirtung,9,CA,1558160078,85,66.15,-65.72,27.99,2.44
443,Ucluelet,100,CA,1558160079,97,48.94,-125.55,51.01,20.15
444,Kupang,7,ID,1558160080,66,-10.16,123.6,86.85,11.16
445,Paragominas,100,BR,1558160081,98,-3.0,-47.35,71.55,1.79
446,Kalmunai,90,LK,1558160082,53,7.42,81.82,92.61,4.07
447,Phatthalung,94,TH,1558160084,59,7.62,100.08,89.55,8.12
448,Alofi,51,NU,1558160085,73,-19.06,-169.92,77.0,13.87
449,Lata,65,IN,1558160086,65,30.78,78.62,39.33,7.27
450,Kruisfontein,0,ZA,1558160087,80,-34.0,24.73,58.59,6.93
451,La Ronge,5,CA,1558160089,48,55.1,-105.3,42.8,11.41
452,Kaeo,13,NZ,1558160090,99,-35.1,173.78,59.0,6.73
453,Saint Anthony,90,US,1558160091,80,43.97,-111.68,42.8,9.17
454,Annau,20,TM,1558160093,44,37.89,58.52,77.0,9.17
455,Mariinsk,100,RU,1558160094,37,56.21,87.75,54.63,12.55
456,Cap-aux-Meules,0,CA,1558159816,89,47.38,-61.86,36.81,8.3
457,Dinghai,20,CN,1558160096,70,26.28,119.79,86.0,11.18
458,Saint-Leu,0,RE,1558160097,65,-21.15,55.28,80.6,4.7
459,Laukaa,0,FI,1558160099,44,62.42,25.95,60.8,4.7
460,Atbasar,100,KZ,1558160100,82,51.81,68.36,51.39,10.16
461,Comodoro Rivadavia,0,AR,1558160102,43,-45.87,-67.48,50.0,31.09
462,Liptovsky Hradok,20,SK,1558159870,87,49.04,19.72,53.6,4.7
463,San Jose,94,PH,1558160105,43,15.79,120.99,97.65,13.65
464,Jos,100,NG,1558160106,84,9.92,8.9,72.45,7.09
465,Werda,90,DE,1558160108,87,50.44,12.3,48.99,4.7
466,Razole,1,IN,1558160109,44,16.48,81.84,99.63,9.46
467,Tezu,15,IN,1558160110,42,27.93,96.16,90.27,3.65
468,Yurginskoye,16,RU,1558160111,32,56.82,67.39,51.39,6.96
469,Gamba,0,CN,1558160113,17,28.28,88.52,47.79,13.56
470,Maragheh,0,IR,1558160114,43,37.39,46.24,71.6,11.41
471,Orebro,83,SE,1558160066,63,59.27,15.21,61.0,8.84
472,Waiuku,36,NZ,1558160116,77,-37.25,174.73,60.01,10.29
473,Slave Lake,20,CA,1558160117,32,55.28,-114.77,53.6,12.75
474,Mayskiy,33,RU,1558160118,68,43.63,44.06,69.8,2.24
475,Tirumullaivasal,98,IN,1558160120,30,11.24,79.84,101.79,5.5
476,Hirado,75,JP,1558160121,94,33.32,129.49,75.0,18.34
477,Veraval,94,FR,1558160122,100,49.65,0.71,53.01,4.7
478,Yeghegnavan,40,AM,1558159866,38,39.84,44.63,77.0,5.82
479,Bandarbeyla,73,SO,1558160125,58,9.49,50.81,87.03,14.12
480,Northam,20,GB,1558160126,100,51.04,-4.21,51.01,2.24
481,Gdov,36,RU,1558160127,75,58.74,27.82,45.81,2.77
482,Choix,0,MX,1558160128,69,26.71,-108.33,64.17,2.15
483,Wakkanai,75,JP,1558160130,36,45.41,141.67,75.2,26.4
484,Byron Bay,75,AU,1558160003,60,-28.65,153.62,73.4,14.99
485,Yumen,38,CN,1558160132,17,40.29,97.04,63.27,31.34
486,Alexandria,1,US,1558160133,88,31.31,-92.44,71.6,5.82
487,Sterling,20,US,1558160076,93,39.0,-77.4,71.01,3.36
488,Bartoszyce,95,PL,1558160136,90,54.25,20.81,62.73,5.75
489,Amga,69,RU,1558160137,41,60.89,131.98,60.39,9.33
490,Ingham,97,AU,1558160138,93,-18.65,146.16,69.39,6.33
491,Kimbe,82,PG,1558160140,86,-5.56,150.15,81.81,3.0
492,Griffith,0,AU,1558160141,52,-34.29,146.06,73.4,5.82
493,La Paz,5,MX,1558160142,52,24.15,-110.32,69.8,11.41
494,The Pas,1,CA,1558160092,64,53.82,-101.24,39.2,4.7
495,Esperance,20,TT,1558160145,88,10.24,-61.45,77.0,4.7
496,Tikhvin,0,RU,1558160146,48,59.64,33.53,64.0,1.99
497,Maniitsoq,40,GL,1558160147,86,65.42,-52.9,34.29,9.42
498,Sao Jose da Coroa Grande,31,BR,1558160149,93,-8.9,-35.15,70.29,4.09
499,Abashiri,20,JP,1558160150,36,44.01,144.25,78.8,19.46
500,Erzin,0,TR,1558160151,50,36.95,36.2,77.0,9.17
501,Khasan,37,RU,1558160152,56,42.43,130.64,70.11,11.92
502,Bozoum,96,CF,1558160153,90,6.31,16.38,69.21,6.35
503,Petropavlovsk-Kamchatskiy,6,RU,1558160155,43,53.05,158.65,64.4,13.42
504,Kabanjahe,40,ID,1558160045,66,3.1,98.49,90.0,9.17
505,Quime,1,BO,1558160157,33,-16.98,-67.22,34.29,5.44
506,Pingliang,97,CN,1558160158,24,35.54,106.68,59.0,6.31
507,Bartica,20,GY,1558160159,94,6.41,-58.62,75.2,4.7
508,Leningradskiy,16,RU,1558160161,86,69.38,178.42,27.45,9.22
509,Shaowu,2,CN,1558159950,70,27.34,117.49,86.31,2.62
510,Amarpur,75,IN,1558160163,75,23.52,91.65,89.6,3.36
511,Cap Malheureux,40,MU,1558160165,74,-19.98,57.61,80.01,12.75
512,Lompoc,1,US,1558160166,81,34.64,-120.46,57.0,6.93
513,Nemuro,40,JP,1558160167,56,43.32,145.57,69.8,20.8
514,Ahipara,39,NZ,1558160168,99,-35.17,173.16,59.0,11.81
515,Calabozo,91,VE,1558160170,59,8.92,-67.43,81.45,8.59
516,Toora-Khem,1,RU,1558160171,18,52.47,96.11,54.45,3.31
517,Yulara,75,AU,1558160173,42,-25.24,130.99,84.2,12.75
518,Palembang,40,ID,1558160174,55,-2.99,104.76,89.6,2.24
519,Banda Aceh,86,ID,1558160175,72,5.56,95.32,84.15,8.12
520,Yuncheng,94,CN,1558160176,41,35.03,111.0,86.85,14.03
521,Dudinka,0,RU,1558160178,64,69.41,86.18,35.6,4.47
522,Polyarnyy,75,RU,1558160179,60,69.2,33.45,41.0,8.95
523,Helsinki,0,FI,1558160170,48,60.17,24.94,68.0,2.24
524,Camargo,0,MX,1558160182,17,27.69,-105.17,70.47,13.35
525,Loiza,20,PR,1558160183,78,18.43,-65.88,80.6,8.05
526,Honningsvag,96,NO,1558160185,85,70.98,25.97,37.35,5.97
527,Shelopugino,98,RU,1558159925,75,51.65,117.56,47.97,10.27
528,Kibakwe,53,TZ,1558160187,68,-6.71,36.37,72.27,4.74
529,Kagoro,88,NG,1558160188,90,9.6,8.38,71.91,3.69
530,Green River,1,US,1558160189,74,41.53,-109.47,35.6,19.46
531,Port Keats,26,AU,1558160191,60,-14.25,129.55,87.93,10.49
532,Berezovyy,58,RU,1558160192,28,51.67,135.7,63.81,12.5
533,Aloleng,80,PH,1558160193,69,16.13,119.78,87.57,8.48
534,Kostino,9,BG,1558160194,67,41.7,25.3,69.01,2.24
535,Ntchisi,20,MW,1558160195,93,-13.36,33.92,59.0,4.7
536,Tarko-Sale,100,RU,1558160197,100,64.92,77.78,34.83,21.3
537,Orje,100,NO,1558160198,76,59.48,11.66,52.0,9.17
538,Wajima,75,JP,1558160199,49,37.4,136.9,71.6,5.82
539,Jumla,11,NP,1558160200,21,29.28,82.18,69.21,4.61
540,Nuuk,33,GL,1558160202,100,64.17,-51.74,30.2,3.36
541,Vila,90,IT,1558159995,93,45.18,8.4,54.0,8.05
542,Xinzhi,75,TW,1558160204,74,22.54,120.62,87.8,13.87
543,Blagoyevo,100,RU,1558160205,63,63.37,47.92,39.69,14.03
544,Pampa,1,US,1558160207,77,35.54,-100.96,73.4,16.11
545,Inuvik,40,CA,1558160208,56,68.36,-133.71,44.6,13.87
546,Buala,90,SB,1558160209,76,-8.15,159.59,83.43,9.78
547,Clive,40,US,1558160210,100,41.61,-93.78,68.0,12.75
548,Rocha,93,UY,1558160212,93,-34.48,-54.34,57.51,7.65
549,Tazovskiy,33,RU,1558160213,97,67.47,78.7,33.39,19.66
550,Melo,50,UY,1558160214,94,-32.37,-54.17,56.07,7.09
