,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
84,Mataura,100,NZ,1558159618,82,-46.19,168.86,51.01,11.99
85,Buzmeyin,20,TM,1558159619,44,38.05,58.21,77.0,9.17
86,Busselton,23,AU,1558159620,42,-33.64,115.35,62.01,1.99
87,Codrington,40,AU,1558159622,60,-28.95,153.24,73.4,10.29
88,Alugan,89,PH,1558159623,79,12.22,125.48,86.49,3.33
89,Mutum,100,BR,1558159625,97,-19.82,-41.44,62.19,4.45
90,Hamilton,20,BM,1558159626,72,32.3,-64.78,68.0,3.36
91,Luderitz,0,NA,1558159627,87,-26.65,15.16,51.8,3.36
92,Katsuura,75,JP,1558159629,77,33.93,134.5,73.99,21.92
93,Izumo,90,JP,1558159630,47,35.37,132.75,75.2,4.7
94,Aksarka,100,RU,1558159631,95,66.56,67.8,33.93,23.2
95,Kapaa,75,US,1558159421,74,22.08,-159.32,80.6,11.41
96,Salym,82,RU,1558159633,52,60.06,71.48,47.79,9.57
97,Vaini,0,IN,1558159635,26,15.34,74.49,95.0,9.17
98,Kirakira,99,SB,1558159636,75,-10.46,161.92,82.35,6.29
99,Constitucion,0,MX,1558159638,50,23.99,-104.67,45.99,8.68
100,Shimoda,75,JP,1558159639,64,34.7,138.93,73.4,9.17
101,Coolum Beach,55,AU,1558159640,69,-26.53,153.09,69.01,1.99
102,Hovd,0,NO,1558159641,54,63.83,10.7,62.01,8.05
103,Port Lincoln,100,AU,1558159643,62,-34.72,135.86,70.11,13.09
104,Townsville,82,AU,1558159644,54,-19.26,146.82,80.6,17.22
105,Georgetown,20,GY,1558159645,94,6.8,-58.16,75.2,4.7
106,Quelimane,75,MZ,1558159647,100,-17.88,36.89,68.0,4.7
107,Inhambane,20,MZ,1558159648,93,-23.87,35.38,60.8,0.87
108,Boca do Acre,36,BR,1558159649,85,-8.76,-67.39,67.23,0.36
109,Road Town,1,VG,1558159650,74,18.42,-64.62,80.6,10.29
110,Aksarayskiy,0,RU,1558159652,32,46.79,48.01,68.0,17.9
111,Mnogovershinnyy,87,RU,1558159653,84,53.94,139.92,46.89,3.24
112,Bethel,75,US,1558159389,70,60.79,-161.76,48.2,14.99
113,Tsumeb,0,NA,1558159656,37,-19.25,17.72,53.6,4.7
114,San Cristobal,75,EC,1558159657,93,-0.39,-78.55,55.4,3.36
115,Smiltene,68,LV,1558159659,47,57.42,25.9,66.0,5.01
116,San Policarpo,77,PH,1558159660,69,12.18,125.51,88.29,10.29
117,Bundaberg,8,AU,1558159661,44,-24.87,152.35,77.0,20.8
118,Coquimbo,0,CL,1558159662,81,-29.95,-71.34,50.0,6.93
119,Tasiilaq,90,GL,1558159663,93,65.61,-37.64,35.6,4.7
120,Hobart,40,AU,1558159523,67,-42.88,147.33,62.01,10.29
121,Arraial do Cabo,81,BR,1558159666,82,-22.97,-42.02,73.89,20.94
122,Hithadhoo,98,MV,1558159667,68,-0.6,73.08,85.05,7.45
123,Hilo,75,US,1558159668,61,19.71,-155.08,80.6,4.7
124,Catia La Mar,69,VE,1558159670,76,10.6,-67.03,71.01,1.01
125,Provideniya,97,RU,1558159671,65,64.42,-173.23,38.97,7.9
126,Orchard Homes,90,US,1558159672,87,46.86,-114.05,46.99,5.82
127,Quartucciu,40,IT,1558159674,72,39.25,9.18,63.0,12.75
128,Victoria,75,BN,1558159609,70,5.28,115.24,91.4,3.36
129,San Quintin,100,PH,1558159676,54,17.54,120.52,92.97,11.14
130,Richards Bay,0,ZA,1558159677,81,-28.77,32.06,70.65,12.82
131,Carire,96,BR,1558159679,96,-3.95,-40.47,71.37,1.66
132,Guozhen,29,CN,1558159680,54,29.3,113.14,88.29,4.52
133,Moose Jaw,75,CA,1558159681,34,50.4,-105.54,50.0,14.99
134,Ossora,8,RU,1558159683,40,59.24,163.07,52.83,3.4
135,Bosaso,20,SO,1558159684,59,11.28,49.18,91.4,16.11
136,Ruteng,12,ID,1558159685,52,-8.61,120.46,89.73,1.66
137,Dutlwe,0,BW,1558159686,31,-23.98,23.93,60.75,7.96
138,Illapel,1,CL,1558159688,91,-31.63,-71.17,55.35,6.17
139,Tommot,76,RU,1558159689,37,58.97,126.27,59.85,4.12
140,Avera,1,US,1558159690,88,33.19,-82.53,73.99,3.36
141,Cape Town,75,ZA,1558159506,67,-33.93,18.42,62.01,13.87
142,Westport,75,IE,1558159693,93,53.8,-9.52,51.01,11.41
143,Ayagoz,0,KZ,1558159694,23,47.96,80.43,60.93,10.36
144,Chokurdakh,86,RU,1558159695,86,70.62,147.9,17.91,6.51
145,Carnarvon,0,ZA,1558159696,37,-30.97,22.13,57.69,4.7
146,Stephenville,90,US,1558159445,78,32.22,-98.2,77.0,16.11
147,San Andres,68,PH,1558159699,58,13.32,122.68,91.53,7.52
148,Kenai,40,US,1558159630,75,60.55,-151.26,48.99,5.82
149,Lososina,100,RU,1558159702,49,49.0,140.31,74.25,9.55
150,Beringovskiy,28,RU,1558159703,81,63.05,179.32,34.65,3.98
151,Vardo,1,US,1558159704,88,39.62,-77.74,66.99,4.7
152,Paamiut,1,GL,1558159706,93,61.99,-49.67,35.01,3.24
153,Saint-Georges,94,CA,1558159707,96,46.12,-70.67,46.99,4.0
154,Iqaluit,90,CA,1558159708,88,63.75,-68.52,32.0,4.7
155,Guerrero Negro,0,MX,1558159709,75,27.97,-114.04,61.47,24.23
156,Avarua,100,CK,1558159711,73,-21.21,-159.78,75.2,5.82
157,Megion,90,RU,1558159712,93,61.04,76.11,44.6,15.66
158,Yarada,1,IN,1558159713,56,17.65,83.27,96.8,9.17
159,Outlook,100,CA,1558159714,43,51.48,-107.04,50.85,13.04
160,Mareeba,75,AU,1558159715,83,-16.99,145.42,75.99,20.8
161,Adet,14,ET,1558159717,34,11.26,37.49,76.23,6.4
162,Saint-Philippe,90,CA,1558159718,71,45.36,-73.48,51.01,8.05
163,Arman,11,RU,1558159719,30,59.7,150.17,48.87,8.19
164,Kifri,62,IQ,1558159721,9,34.69,44.96,98.01,11.95
165,Henties Bay,0,NA,1558159722,97,-22.12,14.28,54.0,5.01
166,ChengDe,100,CN,1558159723,72,40.97,117.93,67.23,7.99
167,Mananjary,0,MG,1558159725,72,-19.16,46.8,68.13,4.56
168,Bonthe,100,SL,1558159726,82,7.53,-12.5,80.19,4.99
169,Haines Junction,33,CA,1558159727,58,60.75,-137.51,44.19,6.78
170,Pacifica,1,US,1558159456,87,37.61,-122.49,55.4,4.88
171,Lasa,40,CY,1558159729,73,34.92,32.53,69.8,3.36
172,Junin,0,PE,1558159731,25,-16.45,-71.58,51.8,9.17
173,Zharkent,14,KZ,1558159732,23,44.17,80.0,54.27,5.57
174,Okuchi,75,JP,1558159733,93,32.07,130.62,66.2,12.75
175,Hasaki,75,JP,1558159734,60,35.73,140.83,77.0,13.87
176,Chuy,38,UY,1558159735,81,-33.69,-53.46,67.05,16.71
177,Lavrentiya,97,RU,1558159737,91,65.58,-170.99,28.71,9.6
178,Vila Velha,75,BR,1558159738,88,-3.71,-38.6,78.8,2.24
179,Dikson,79,RU,1558159739,77,73.51,80.55,26.73,10.4
180,Valle de Guadalupe,0,MX,1558159740,35,21.01,-102.61,68.49,6.11
181,Clyde River,90,CA,1558159742,100,70.47,-68.59,24.8,5.82
182,Ampanihy,30,MG,1558159743,56,-24.69,44.75,79.11,6.31
183,Mount Isa,0,AU,1558159744,31,-20.73,139.49,87.8,10.29
184,Touros,40,BR,1558159746,94,-5.2,-35.46,75.2,4.7
185,Iralaya,84,HN,1558159747,87,15.0,-83.23,78.39,3.74
186,Tzaneen,0,ZA,1558159606,41,-23.83,30.16,57.2,4.7
187,Castro,75,CL,1558159750,100,-42.48,-73.76,42.8,5.82
188,Port Hardy,75,CA,1558159495,66,50.7,-127.42,53.6,4.7
189,Liseleje,90,DK,1558159752,100,56.01,11.96,53.01,6.93
190,Shelburne,20,CA,1558159523,76,44.08,-80.2,48.2,9.17
191,Farah,71,AF,1558159755,13,32.37,62.11,87.57,2.48
192,Zhigansk,44,RU,1558159756,73,66.77,123.37,28.89,25.46
193,Yar-Sale,100,RU,1558159757,82,66.83,70.83,35.37,24.27
194,Vao,39,EE,1558159758,51,59.1,26.19,59.67,4.81
195,Binzhou,91,CN,1558159760,28,37.38,117.96,87.03,9.01
196,Mayor Pablo Lagerenza,0,PY,1558159761,71,-19.93,-60.77,61.83,5.06
197,Montebello,1,US,1558159595,63,34.02,-118.11,62.01,2.04
198,Kholmogory,40,RU,1558159763,65,64.23,41.65,41.0,8.95
199,Terebovlya,98,UA,1558159765,82,49.3,25.71,65.79,1.43
200,Vostok,83,RU,1558159766,40,46.45,135.83,79.11,14.09
201,Cabo San Lucas,5,MX,1558159508,64,22.89,-109.91,72.0,3.36
202,Port Shepstone,81,ZA,1558159768,57,-30.74,30.45,64.35,4.74
203,Port-Gentil,20,GA,1558159770,100,-0.72,8.78,75.2,3.36
204,Mogadishu,75,SO,1558159771,70,2.04,45.34,86.0,9.17
205,Omboue,87,GA,1558159772,81,-1.57,9.26,79.11,4.85
206,Umm Lajj,0,SA,1558159773,67,25.02,37.27,82.89,5.21
207,Faanui,0,PF,1558159775,71,-16.48,-151.75,83.43,9.71
208,Aykhal,0,RU,1558159776,46,65.95,111.51,30.2,11.18
209,East London,0,ZA,1558159777,87,-33.02,27.91,59.0,5.82
210,Longyearbyen,90,NO,1558159778,74,78.22,15.63,33.8,3.36
211,Sarrebourg,20,FR,1558159780,87,48.73,7.05,57.0,4.7
212,Mao,75,DO,1558159716,100,19.55,-71.08,79.0,1.68
213,Diffa,92,NE,1558159782,33,13.32,12.61,87.57,6.89
214,Viedma,99,AR,1558159784,45,-40.81,-62.99,59.85,15.77
215,Portland,90,US,1558159785,71,45.52,-122.67,55.4,5.82
216,Eureka,90,US,1558159643,87,40.8,-124.16,55.99,3.36
217,Grand Gaube,40,MU,1558159788,74,-20.01,57.66,80.01,12.75
218,Kavaratti,40,IN,1558159789,70,10.57,72.64,87.8,9.17
219,Buraydah,40,SA,1558159790,54,26.33,43.97,80.6,6.93
220,Bonavista,23,CA,1558159791,86,48.65,-53.11,39.0,5.01
221,Antofagasta,75,CL,1558159519,87,-23.65,-70.4,55.4,6.93
222,Roros,73,NO,1558159794,70,62.57,11.38,48.2,5.82
223,Narsaq,11,GL,1558159795,86,60.91,-46.05,39.2,2.24
